keyphrase,embedding_dimension,document_count,has_embedding
security warning,3584,13,True
standing order setup,3584,17,True
api integration support,3584,9,True
portfolio review,3584,15,True
customer satisfaction survey,3584,10,True
payment gateway integration,3584,14,True
business continuity planning,3584,18,True
trade settlement inquiry,3584,13,True
gdpr right explanation,3584,11,True
mobile app troubleshoot,3584,12,True
feature enhancement request,3584,14,True
restructure consultation,3584,17,True
forex trading,3584,16,True
credit line request,3584,19,True
file format guidance,3584,15,True
branch service inquiry,3584,11,True
liquidity management,3584,15,True
relationship manager introduction,3584,20,True
signatory change request,3584,12,True
diligence assistance,3584,12,True
settlement risk analysis,3584,19,True
treasury service consultation,3584,13,True
suspicious activity report,3584,11,True
trade documentation inquiry,3584,13,True
fee structure inquiry,3584,12,True
partnership development,3584,13,True
account reconciliation discussion,3584,16,True
financial planning consultation,3584,15,True
account statement request,3584,18,True
account suspension notice,3584,13,True
merger acquisition support,3584,16,True
version update information,3584,14,True
contract discussion,3584,14,True
digital banking help,3584,21,True
seminar invitation discussion,3584,16,True
payment cancellation request,3584,17,True
regulatory compliance question,3584,16,True
callback scheduling request,3584,13,True
investment product inquiry,3584,17,True
payment processing inquiry,3584,11,True
workshop registration,3584,15,True
emergency contact,3584,13,True
operational risk assessment,3584,13,True
fraud alert,3584,15,True
multi currency account,3584,15,True
profile update request,3584,12,True
technical support request,3584,16,True
account closure request,3584,9,True
payment delay complaint,3584,12,True
investment advisory,3584,15,True
compliance training,3584,13,True
bank guarantee inquiry,3584,14,True
recovery planning assistance,3584,11,True
psd2 authorization discussion,3584,14,True
security breach report,3584,13,True
urgent payment request,3584,15,True
service interruption notice,3584,13,True
aml inquiry discussion,3584,17,True
customer retention,3584,17,True
account update,3584,14,True
product information inquiry,3584,6,True
economic update discussion,3584,14,True
letter credit discussion,3584,11,True
risk management discussion,3584,17,True
document upload assistance,3584,16,True
system upgrade notice,3584,12,True
accounting integration help,3584,11,True
account recovery process,3584,15,True
escalation management request,3584,15,True
datum protection discussion,3584,13,True
card activation,3584,15,True
internal control discussion,3584,16,True
business expansion discussion,3584,16,True
training session scheduling,3584,10,True
budget management assistance,3584,15,True
risk disclosure discussion,3584,9,True
transaction history inquiry,3584,14,True
market risk discussion,3584,12,True
payment authorization request,3584,15,True
disaster recovery discussion,3584,17,True
source fund verification,3584,14,True
credit assessment discussion,3584,16,True
corporate card request,3584,12,True
governance review meeting,3584,12,True
industry update,3584,11,True
beneficial ownership discussion,3584,15,True
client categorization review,3584,16,True
credit facility inquiry,3584,13,True
mifid ii consultation,3584,13,True
fraud prevention discussion,3584,11,True
erp system connection,3584,11,True
process explanation,3584,16,True
infrastructure support,3584,18,True
enhance diligence,3584,15,True
complaint follow,3584,15,True
cross sell conversation,3584,9,True
cash management consultation,3584,12,True
direct debit setup,3584,13,True
complaint escalation request,3584,5,True
crisis management support,3584,13,True
insolvency advice discussion,3584,10,True
system maintenance notice,3584,10,True
service quality complaint,3584,8,True
advisory service request,3584,11,True
compliance information,3584,3,True
suitability assessment,3584,17,True
batch processing assistance,3584,14,True
valuation service inquiry,3584,17,True
service availability question,3584,13,True
fee dispute discussion,3584,5,True
platform navigation help,3584,16,True
account opening process,3584,11,True
market information request,3584,17,True
payment problem discussion,3584,15,True
credit risk evaluation,3584,12,True
payroll service discussion,3584,11,True
network event information,3584,16,True
currency exchange inquiry,3584,15,True
account security review,3584,14,True
transaction monitor,3584,10,True
balance inquiry,3584,6,True
account migration notice,3584,13,True
regulatory reporting assistance,3584,15,True
cybersecurity consultation,3584,7,True
refund status request,3584,7,True
audit preparation,3584,11,True
party access,3584,9,True
business account setup,3584,18,True
documentation request discussion,3584,13,True
international transfer,3584,12,True
work capital discussion,3584,14,True
banking hour inquiry,3584,18,True
kyc verification,3584,15,True
service feedback,3584,15,True
regulatory change notice,3584,7,True
interest rate inquiry,3584,17,True
system access help,3584,6,True
datum backup discussion,3584,16,True
electronic banking training,3584,12,True
card service request,3584,6,True
invoice financing request,3584,13,True
transfer instruction,3584,16,True
conference participation inquiry,3584,16,True
strategic planning consultation,3584,14,True
investment advice request,3584,12,True
authentication assistance,3584,2,True
password reset assistance,3584,8,True
bulk payment guidance,3584,13,True
sanction screen,3584,13,True
system error discussion,3584,15,True
trade finance consultation,3584,7,True
documentary collection,3584,11,True
export finance consultation,3584,8,True
business relationship review,3584,11,True
account verification,3584,13,True
